KH, KW, SH, SW, PH, PW, SH, SW, H, W (Ci=8/Co=256), W (Ci=16/Co=256), W (Ci=32/Co=256), W (Ci=64/Co=256), W (Ci=128/Co=256),W (Ci=256/Co=256), W (Ci=384/Co=256)
1, 1, 1, 1, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240, 240, 240
1, 1, 1, 1, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240, 240, 170
1, 1, 1, 1, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240, 170, 113
1, 2, 1, 1, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240, 240, 240
1, 2, 1, 1, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240, 240, 170
1, 2, 1, 1, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240, 170, 113
1, 2, 1, 2, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240, 240, 240
1, 2, 1, 2, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240, 240, 170
1, 2, 1, 2, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240, 170, 113
1, 3, 1, 1, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240,,
1, 3, 1, 1, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240,,
1, 3, 1, 1, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240,,
1, 3, 1, 2, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240,,
1, 3, 1, 2, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240,,
1, 3, 1, 2, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240,,
1, 3, 1, 3, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240,,
1, 3, 1, 3, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240,,
1, 3, 1, 3, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240,,
1, 4, 1, 1, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240,,
1, 4, 1, 1, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240,,
1, 4, 1, 1, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240,,
1, 4, 1, 2, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240,,
1, 4, 1, 2, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240,,
1, 4, 1, 2, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240,,
1, 4, 1, 3, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240,,
1, 4, 1, 3, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240,,
1, 4, 1, 3, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240,,
1, 4, 1, 4, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240,,
1, 4, 1, 4, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240,,
1, 4, 1, 4, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240,,
1, 5, 1, 1, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240,,
1, 5, 1, 1, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240,,
1, 5, 1, 1, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240,,
1, 5, 1, 2, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240,,
1, 5, 1, 2, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240,,
1, 5, 1, 2, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240,,
1, 5, 1, 3, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240,,
1, 5, 1, 3, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240,,
1, 5, 1, 3, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240,,
1, 5, 1, 4, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240,,
1, 5, 1, 4, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240,,
1, 5, 1, 4, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240,,
1, 5, 1, 5, 1, 1, 1, 1, 128, 240, 240, 240, 240, 240,,
1, 5, 1, 5, 1, 1, 1, 1, 256, 240, 240, 240, 240, 240,,
1, 5, 1, 5, 1, 1, 1, 1, 384, 240, 240, 240, 240, 240,,
1, 6, 1, 1, 1, 1, 1, 1, 128, 240, 240, 240, 240,,,
1, 6, 1, 1, 1, 1, 1, 1, 256, 240, 240, 240, 240,,,
1, 6, 1, 1, 1, 1, 1, 1, 384, 240, 240, 240, 240,,,
1, 6, 1, 2, 1, 1, 1, 1, 128, 240, 240, 240, 240,,,
1, 6, 1, 2, 1, 1, 1, 1, 256, 240, 240, 240, 240,,,
1, 6, 1, 2, 1, 1, 1, 1, 384, 240, 240, 240, 240,,,
1, 6, 1, 3, 1, 1, 1, 1, 128, 240, 240, 240, 240,,,
1, 6, 1, 3, 1, 1, 1, 1, 256, 240, 240, 240, 240,,,
1, 6, 1, 3, 1, 1, 1, 1, 384, 240, 240, 240, 240,,,
1, 6, 1, 4, 1, 1, 1, 1, 128, 240, 240, 240, 240,,,
1, 6, 1, 4, 1, 1, 1, 1, 256, 240, 240, 240, 240,,,
1, 6, 1, 4, 1, 1, 1, 1, 384, 240, 240, 240, 240,,,
1, 6, 1, 5, 1, 1, 1, 1, 128, 240, 240, 240, 240,,,
1, 6, 1, 5, 1, 1, 1, 1, 256, 240, 240, 240, 240,,,
1, 6, 1, 5, 1, 1, 1, 1, 384, 240, 240, 240, 240,,,
1, 6, 1, 6, 1, 1, 1, 1, 128, 240, 240, 240, 240,,,
1, 6, 1, 6, 1, 1, 1, 1, 256, 240, 240, 240, 240,,,
1, 6, 1, 6, 1, 1, 1, 1, 384, 240, 240, 240, 240,,,
1, 7, 1, 1, 1, 1, 1, 1, 128, 240, 240, 240, 240,,,
1, 7, 1, 1, 1, 1, 1, 1, 256, 240, 240, 240, 240,,,
1, 7, 1, 1, 1, 1, 1, 1, 384, 240, 240, 240, 240,,,
1, 7, 1, 2, 1, 1, 1, 1, 128, 240, 240, 240, 240,,,
1, 7, 1, 2, 1, 1, 1, 1, 256, 240, 240, 240, 240,,,
1, 7, 1, 2, 1, 1, 1, 1, 384, 240, 240, 240, 240,,,
1, 7, 1, 3, 1, 1, 1, 1, 128, 240, 240, 240, 240,,,
1, 7, 1, 3, 1, 1, 1, 1, 256, 240, 240, 240, 240,,,
1, 7, 1, 3, 1, 1, 1, 1, 384, 240, 240, 240, 240,,,
1, 7, 1, 4, 1, 1, 1, 1, 128, 240, 240, 240, 240,,,
1, 7, 1, 4, 1, 1, 1, 1, 256, 240, 240, 240, 240,,,
1, 7, 1, 4, 1, 1, 1, 1, 384, 240, 240, 240, 240,,,
