Category,topology,source framework,precision,infered with,CPU,GPU,NPU
Sound Classification,aclnet,onnx,FP16,OpenVINO,+,+,+
Sound Classification,aclnet,onnx,FP16-INT8,OpenVINO,+,+,+
Sound Classification,aclnet,onnx,FP32,OpenVINO,+,+,+
Sound Classification,aclnet,onnx,FP32,ONNX Runtime OVEP,+,+,+
Sound Classification,aclnet,onnx,FP16,ONNX Runtime OVEP,+,+,+
Sound Classification,aclnet,onnx,INT8,ONNX Runtime OVEP,+,+,+
Sound Classification,aclnet-int8,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,action-recognition-0001,onnx,FP16,OpenVINO,+,+,+
Object Detection,action-recognition-0001,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,albert-base-v2,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,albert-base-v2,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,albert-base-v2,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,albert-base-v2-sst2,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,albert-large-v2,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,albert-large-v2,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,albert-large-v2-finetuned-mnli,pytorch,intel-optimum default,Optimum Intel,+,,
Image Classification,alexnet,onnx,FP16,OpenVINO,+,+,+
Image Classification,alexnet,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,alexnet,onnx,FP32,OpenVINO,+,+,+
Image Classification,alexnet,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,alexnet,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,alexnet,onnx,INT8,ONNX Runtime OVEP,+,+,+
Image Classification,alexnet,pytorch,FP32,OpenVINO,+,+,+
Image Classification,alexnet,pytorch,FP16,OpenVINO,+,+,+
Image Classification,alexnet,pytorch,FP32,torch.compile,+,+,+
Image Classification,anti-spoof-mn3,onnx,FP16,OpenVINO,+,+,+
Large Language Model,Aquila2-7B,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Aquila-7B,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,AquilaChat2-7B,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,AquilaChat-7B,pytorch,INT4,Optimum Intel,+,+,
Image Classification,asl-recognition-0003,onnx,FP16,OpenVINO,+,+,
Image Classification,asl-recognition-0003,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,asl-recognition-0003,onnx,FP32,OpenVINO,+,+,
Image Classification,asl-recognition-0004,onnx,FP16,OpenVINO,+,+,
Audio Classification,ast-finetuned-speech-commands-v2,pytorch,intel-optimum default,Optimum Intel,+,+,
Text Recognition,attention-ocr,tf,FP16,OpenVINO,+,+,+
Text Recognition,attention-ocr,tf,FP16-INT8,OpenVINO,,,+
Text Recognition,attention-ocr,tf,FP32,OpenVINO,+,+,+
Large Language Model,baichuan2-13b-chat,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,baichuan2-13b-chat,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,baichuan2-13b-chat,pytorch,FP16,OpenVINO,+,,
