Category,Topology,Source Framework,Precision,Inferred With,CPU,GPU,NPU
Audio Enhancement,Denoise,tf,FP16,OpenVINO,+,+,+
Audio Enhancement,Denoise,tf,FP16-INT8,OpenVINO,+,+,+
Audio Enhancement,Denoise,tf,FP32,OpenVINO,+,+,+
Large Language Model,GPT-2,onnx,FP16,OpenVINO,+,+,+
Large Language Model,GPT-2,onnx,FP16-INT8,OpenVINO,+,,+
Large Language Model,GPT-2,onnx,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",Mask-AI-SRGAN,tf,FP32,OpenVINO,+,,
Spatial Transformer Network,STN,tf,FP16,OpenVINO,+,+,+
Spatial Transformer Network,STN,tf,FP16-INT8,OpenVINO,+,+,+
Spatial Transformer Network,STN,tf,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",Sharpen-LensBlur,tf,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",Sharpen-LensBlur,tf,FP16-INT8,OpenVINO,+,+,+
"Image Processing, Enhancement ",Sharpen-LensBlur,tf,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",Sharpen-MotionBlur,tf,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",Sharpen-MotionBlur,tf,FP16-INT8,OpenVINO,+,+,+
"Image Processing, Enhancement ",Sharpen-MotionBlur,tf,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",Sharpen-Sharpen,tf,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",Sharpen-Sharpen,tf,FP16-INT8,OpenVINO,+,+,+
"Image Processing, Enhancement ",Sharpen-Sharpen,tf,FP32,OpenVINO,+,+,+
Sound Classification,aclnet,onnx,FP16,OpenVINO,+,+,+
Sound Classification,aclnet,onnx,FP32,OpenVINO,+,+,+
Sound Classification,aclnet,onnx,FP16-INT8,OpenVINO,,+,+
Sound Classification,aclnet-int8,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,action-recognition-0001,onnx,FP16,OpenVINO,+,+,+
Object Detection,action-recognition-0001,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,albert-base-v2,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,albert-base-v2,onnx,FP32,OpenVINO,+,+,+
Image Classification,alexnet,onnx,FP16,OpenVINO,+,+,+
Image Classification,alexnet,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,alexnet,onnx,FP32,OpenVINO,+,+,+
Image Classification,alexnet,pytorch,FP32,OpenVINO,+,+,+
Image Classification,alexnet,pytorch,FP32-INT8,OpenVINO,+,+,+
Image Classification,anti-spoof-mn3,onnx,FP16,OpenVINO,+,+,+
Image Classification,anti-spoof-mn3,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,anti-spoof-mn3,onnx,FP32,OpenVINO,+,+,+
Image Classification,asl-recognition-0003,onnx,FP16,OpenVINO,+,+,
Image Classification,asl-recognition-0003,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,asl-recognition-0003,onnx,FP32,OpenVINO,+,+,
Image Classification,asl-recognition-0004,onnx,FP16,OpenVINO,+,+,
Image Classification,asl-recognition-0004,onnx,FP32,OpenVINO,+,+,
Text Recognition,attention-ocr,tf,FP16,OpenVINO,+,+,+
Text Recognition,attention-ocr,tf,FP32,OpenVINO,+,+,+
Text Recognition,attention-ocr,tf,FP16-INT8,OpenVINO,,,+
Semantic Segmentation,background-matting-mobilenetv2,onnx,FP16,OpenVINO,+,,
Semantic Segmentation,background-matting-mobilenetv2,onnx,FP32,OpenVINO,+,,
Natural Language Processing,bce-embedding-base_v1,pytorch,FP16,OpenVINO,+,+,
Natural Language Processing,bce-embedding-base_v1,pytorch,FP16-INT8,OpenVINO,+,+,+
"Image Processing, Enhancement ",began,onnx,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",began,onnx,FP16-INT8,OpenVINO,+,+,+
"Image Processing, Enhancement ",began,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-base-cased,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-base-cased,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-base-cased,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-base-cased-squad2,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-base-cased-squad2,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-base-chinese-xnli-zh,tf,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-base-chinese-xnli-zh,tf,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-base-chinese-xnli-zh,tf,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-base-multilingual-cased,pytorch,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-base-multilingual-cased,pytorch,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-base-ner,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-base-ner,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-base-ner,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-base-uncased-mrpc,onnx,FP16,OpenVINO,+,,+
Natural Language Processing,bert-base-uncased-mrpc,onnx,FP16-INT8,OpenVINO,+,,+
Natural Language Processing,bert-base-uncased-mrpc,onnx,FP32,OpenVINO,+,,+
Natural Language Processing,bert-base-uncased-mrpc,pytorch,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-base-uncased-mrpc,pytorch,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-large-cased,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-large-cased,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-large-cased,onnx,FP32,OpenVINO,+,+,
Natural Language Processing,bert-large-uncased,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-large-uncased,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-large-uncased,pytorch,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-0001,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-0001,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-emb-0001,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-emb-0001,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking-squad-int8-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-0001,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-0001,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-0002,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-0002,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-emb-int8-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bert-small-uncased-whole-word-masking-squad-int8-0002,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,bge-base-en-v1.5,pytorch,FP16,OpenVINO,+,+,
Natural Language Processing,bge-base-en-v1.5,pytorch,FP16-INT8,OpenVINO,+,+,+
Image Classification,brain-tumor-segmentation-0002,onnx,FP16,OpenVINO,+,,
Image Classification,brain-tumor-segmentation-0002,onnx,FP16-INT8,OpenVINO,+,,
Image Classification,brain-tumor-segmentation-0002,onnx,FP32,OpenVINO,+,,
Object Detection,cascade_rcnn_resnet101_fpn_1x_coco,onnx,FP16,OpenVINO,+,,
Object Detection,cascade_rcnn_resnet101_fpn_1x_coco,onnx,FP16-INT8,OpenVINO,+,,
Object Detection,cascade_rcnn_resnet101_fpn_1x_coco,onnx,FP32,OpenVINO,+,,
Object Detection,centernet-hg104,tf,FP16,OpenVINO,+,+,
Object Detection,centernet-hg104,tf,FP32,OpenVINO,,+,
Image Classification,clip-vit-b-16-plus-240-laion400m-e32,onnx,FP16,OpenVINO,+,+,+
Image Classification,clip-vit-b-16-plus-240-laion400m-e32,onnx,FP32,OpenVINO,+,+,
Image Classification,clip-vit-b-32-laion2b-s34b-b79k,pytorch,FP16,OpenVINO,+,+,
Image Classification,clip-vit-b-32-laion2b-s34b-b79k,pytorch,FP16-INT8,OpenVINO,+,+,+
Image Classification,clip-vit-base-patch16,pytorch,FP16-INT8,OpenVINO,+,+,+
Image Classification,clip-vit-base-patch32,pytorch,FP16,OpenVINO,+,+,
Colorization,colorization-siggraph,onnx,FP16,OpenVINO,+,+,+
Colorization,colorization-siggraph,onnx,FP16-INT8,OpenVINO,+,+,+
Colorization,colorization-siggraph,onnx,FP32,OpenVINO,+,+,+
Colorization,colorization-v2,onnx,FP16,OpenVINO,+,+,+
Colorization,colorization-v2,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,common-sign-language-0001,onnx,FP16,OpenVINO,+,+,+
Image Classification,common-sign-language-0001,onnx,FP32,OpenVINO,+,+,+
Image Classification,common-sign-language-0002,onnx,FP16,OpenVINO,+,+,+
Image Classification,common-sign-language-0002,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,common-sign-language-0002,onnx,FP32,OpenVINO,+,+,+
Image Classification,convnext-tiny,onnx,FP16,OpenVINO,+,,
Image Classification,convnext-tiny,onnx,FP32,OpenVINO,+,,
Image Classification,convnext-tiny,pytorch,FP32,OpenVINO,+,+,+
Image Classification,convnext-tiny,pytorch,FP32-INT8,OpenVINO,+,+,+
"Image Processing, Enhancement ",corel_nnart_001,onnx,FP16,OpenVINO,+,,
"Image Processing, Enhancement ",corel_nnart_001,onnx,FP16-INT8,OpenVINO,+,+,
"Image Processing, Enhancement ",corel_nnart_001,onnx,FP32,OpenVINO,+,,
Text Recognition,crnn-tf,tf,FP16,OpenVINO,+,+,
Text Recognition,crnn-tf,tf,FP16-INT8,OpenVINO,+,+,
Text Recognition,crnn-tf,tf,FP32,OpenVINO,+,+,
Object Detection,ctdet_coco_dlav0_512,onnx,FP16,OpenVINO,+,+,+
Object Detection,ctdet_coco_dlav0_512,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,ctdet_coco_dlav0_512,onnx,FP32,OpenVINO,+,+,+
Text Detection,ctpn,tf,FP16,OpenVINO,+,+,
Text Detection,ctpn,tf,FP16-INT8,OpenVINO,+,+,
Text Detection,ctpn,tf,FP32,OpenVINO,+,+,
Image Classification,darknet19,tf,FP16,OpenVINO,+,+,+
Image Classification,darknet19,tf,FP16-INT8,OpenVINO,+,+,+
Image Classification,darknet19,tf,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",deblurgan-v2,onnx,FP16,OpenVINO,+,+,
"Image Processing, Enhancement ",deblurgan-v2,onnx,FP32,OpenVINO,+,+,
Semantic Segmentation,deeplabv3,tf,FP16,OpenVINO,+,+,+
Semantic Segmentation,deeplabv3,tf,FP16-INT8,OpenVINO,+,+,+
Semantic Segmentation,deeplabv3,tf,FP32,OpenVINO,+,+,+
Image Segmentation,deeplabv3-mobilenetv3,onnx,FP16,OpenVINO,+,+,+
Image Segmentation,deeplabv3-mobilenetv3,onnx,FP16-INT8,OpenVINO,+,+,+
Image Segmentation,deeplabv3-mobilenetv3,onnx,FP32,OpenVINO,+,+,
DNA Classification,deepvariant_wgs,tf,FP16,OpenVINO,+,+,
DNA Classification,deepvariant_wgs,tf,FP16-INT8,OpenVINO,+,+,
DNA Classification,deepvariant_wgs,tf,FP32,OpenVINO,+,+,
Image Classification,deit-b,onnx,FP16,OpenVINO,+,,+
Image Classification,deit-b,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,deit-b,onnx,FP32,OpenVINO,+,+,+
Image Classification,densenet-121,onnx,FP16,OpenVINO,+,+,+
Image Classification,densenet-121,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,densenet-121,onnx,FP32,OpenVINO,+,+,+
Image Classification,densenet-121,tf,FP16,OpenVINO,+,+,+
Image Classification,densenet-121,tf,FP32,OpenVINO,+,+,+
Image Classification,densenet-121,tf2,FP16,OpenVINO,+,+,+
Image Classification,densenet-121,tf2,FP32,OpenVINO,+,+,+
Image Classification,densenet-161,onnx,FP16,OpenVINO,+,+,
Image Classification,densenet-161,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,densenet-161,onnx,FP32,OpenVINO,+,+,
Image Classification,densenet-161,pytorch,FP32,OpenVINO,+,+,+
Image Classification,densenet-161,pytorch,FP32-INT8,OpenVINO,+,+,
Object Detection,detr_resnet50,onnx,FP16,OpenVINO,+,+,+
Object Detection,detr_resnet50,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,detr_resnet50,onnx,FP32,OpenVINO,+,+,+
Behavior / Decision Prediction,dien_alibaba,tf,FP16,OpenVINO,+,+,
Behavior / Decision Prediction,dien_alibaba,tf,FP32,OpenVINO,+,+,
Speech Recognition,distil-large-v2-genai,pytorch,FP16,OpenVINO,+,+,
Speech Recognition,distil-large-v2-genai,pytorch,FP16-INT8,OpenVINO,+,+,
Natural Language Processing,distilbert-base-cased,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-cased,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-uncased,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-uncased,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-uncased,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-uncased,pytorch,FP32-INT8,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-uncased-sst-2,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-uncased-sst-2,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,distilbert-base-uncased-sst-2,onnx,FP32,OpenVINO,+,+,+
Image Classification,dla-34,onnx,FP16,OpenVINO,+,+,
Image Classification,dla-34,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,dla-34,onnx,FP32,OpenVINO,+,+,
Image Classification,dla-34,pytorch,FP32,OpenVINO,+,+,+
Image Classification,dla-34,pytorch,FP32-INT8,OpenVINO,+,+,+
DNA Classification,dna_r9.4.1,onnx,FP16,OpenVINO,+,,
DNA Classification,dna_r9.4.1,onnx,FP16-INT8,OpenVINO,+,,
DNA Classification,dna_r9.4.1,onnx,FP32,OpenVINO,+,,
DNA Classification,dna_r9.4.1_2d,onnx,FP16,OpenVINO,+,,
DNA Classification,dna_r9.4.1_2d,onnx,FP16-INT8,OpenVINO,+,,
DNA Classification,dna_r9.4.1_2d,onnx,FP32,OpenVINO,+,,
"Image Classification, Dual Path Network",dpn-68,onnx,FP16,OpenVINO,+,+,+
"Image Classification, Dual Path Network",dpn-68,onnx,FP16-INT8,OpenVINO,+,+,+
"Image Classification, Dual Path Network",dpn-68,onnx,FP32,OpenVINO,+,+,+
"Image Classification, Dual Path Network",dpn-68,pytorch,FP32,OpenVINO,+,+,+
"Image Classification, Dual Path Network",dpn-68,pytorch,FP32-INT8,OpenVINO,+,+,+
Object Detection,driver-action-recognition-adas-0002,onnx,FP16,OpenVINO,+,+,
Object Detection,driver-action-recognition-adas-0002,onnx,FP32,OpenVINO,+,+,
Semantic Segmentation,drn-d-38,onnx,FP16,OpenVINO,+,+,
Semantic Segmentation,drn-d-38,onnx,FP16-INT8,OpenVINO,+,+,
Semantic Segmentation,drn-d-38,onnx,FP32,OpenVINO,+,+,
Image Classification,east_resnet_v1_50,tf,FP16,OpenVINO,+,+,+
Image Classification,east_resnet_v1_50,tf,FP16-INT8,OpenVINO,+,+,+
Image Classification,east_resnet_v1_50,tf,FP32,OpenVINO,+,+,
"Image Processing, Enhancement ",ebgan,onnx,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",ebgan,onnx,FP16-INT8,OpenVINO,+,+,+
"Image Processing, Enhancement ",ebgan,onnx,FP32,OpenVINO,+,+,+
