Category,Topology,Source Framework,Precision,Inferred With,CPU,GPU,NPU,Last Verified
Sound Classification,aclnet,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Sound Classification,aclnet,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Sound Classification,aclnet,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Sound Classification,aclnet-int8,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Object Detection,action-recognition-0001,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Object Detection,action-recognition-0001,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,afm-4.5b,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,afm-4.5b,pytorch,INT8-CW,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,afm-4.5b,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,Albert,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,albert-base-v2,onnx,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,albert-base-v2,onnx,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Natural Language Processing,albert-base-v2,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,albert-base-v2,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,albert-base-v2-sst2,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,albert-large-v2,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Natural Language Processing,albert-large-v2,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Natural Language Processing,albert-large-v2-finetuned-mnli,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Image Classification,alexnet,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,alexnet,pytorch,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,alexnet,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,alexnet,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,alexnet,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Image Classification,alexnet,pytorch,FP32-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,anti-spoof-mn3,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,anti-spoof-mn3,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,anti-spoof-mn3,onnx,FP16-INT8,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Large Language Model,Aquila2-7B,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,Aquila-7B,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,AquilaChat2-7B,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Large Language Model,AquilaChat-7B,pytorch,INT4,Optimum Intel,passed,passed,,OpenVINO 2026.2
Image Classification,asl-recognition-0003,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,asl-recognition-0003,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,asl-recognition-0003,onnx,FP16-INT8,OpenVINO,passed,passed,,OpenVINO 2026.2
Image Classification,asl-recognition-0004,onnx,FP32,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Image Classification,asl-recognition-0004,onnx,FP16,OpenVINO,passed,passed,passed,OpenVINO 2026.2
Audio Classification,ast-finetuned-speech-commands-v2,pytorch,intel-optimum default,Optimum Intel,passed,passed,,OpenVINO 2026.2
Text Recognition,attention-ocr,tf,FP32,OpenVINO,passed,passed,,OpenVINO 2026.2
Text Recognition,attention-ocr,tf,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Text Recognition,attention-ocr,tf,FP16-INT8,OpenVINO,,passed,,OpenVINO 2026.2
Video Processing ,Background_Matting,pytorch,FP32,torch.compile,passed,passed,passed,OpenVINO 2026.2
Semantic Segmentation,background-matting-mobilenetv2,onnx,FP32,OpenVINO,passed,,,OpenVINO 2026.2
Semantic Segmentation,background-matting-mobilenetv2,onnx,FP16,OpenVINO,passed,,,OpenVINO 2026.2
Semantic Segmentation,background-matting-mobilenetv2,onnx,FP16-INT8,OpenVINO,passed,,,OpenVINO 2026.2
Large Language Model,baichuan2-13b-chat,pytorch,FP16,OpenVINO,passed,passed,,OpenVINO 2026.2
Large Language Model,baichuan2-13b-chat,pytorch,INT4-MIXED,OpenVINO,passed,passed,,OpenVINO 2026.2
