Model name,Throughput: (tokens/sec. 2nd token),1st token latency (msec),Max_RSS_memory used. (MB),Input tokens,Output tokens,Model Precision,Beam,Batch size,Framework
falcon-7b-instruct,Error,4552,Data is coming.,1049,128,INT4,1,1,PT
vicuna-7b-v1.5,Error,3982,Data is coming.,1024,128,INT4,1,1,PT
opt-2.7b,20.2,2757,Data is coming.,937,128,INT4,1,1,PT
phi-3-mini-4k-instruct,19.9,2776,Data is coming.,1062,128,INT4,1,1,PT
orca-mini-3b,19.2,2966,Data is coming.,1024,128,INT4,1,1,PT
phi-2,17.8,2162,Data is coming.,1024,128,INT4,1,1,PT
stable-zephyr-3b-dpo,17.0,1791,Data is coming.,946,128,INT4,1,1,PT
chatglm3-6b,16.5,3569,Data is coming.,1024,128,INT4,1,1,PT
dolly-v2-3b,15.8,6891,Data is coming.,1024,128,INT4,1,1,PT
stablelm-3b-4e1t,15.7,2051,Data is coming.,1024,128,INT4,1,1,PT
red-pajama-incite-chat-3b-v1,14.8,6582,Data is coming.,1020,128,INT4,1,1,PT
codegen25-7b,13.3,3982,Data is coming.,1024,128,INT4,1,1,PT
gpt-j-6b,13.2,7213,Data is coming.,1024,128,INT4,1,1,PT
stablelm-7b,12.8,6339,Data is coming.,1020,128,INT4,1,1,PT
llama-3-8b,12.8,4356,Data is coming.,1024,128,INT4,1,1,PT
llama-2-7b-chat,12.3,4205,Data is coming.,1024,128,INT4,1,1,PT
llama-7b,11.7,4315,Data is coming.,1024,128,INT4,1,1,PT
mistral-7b-v0.1,10.5,4462,Data is coming.,1007,128,INT4,1,1,PT
zephyr-7b-beta,10.5,4500,Data is coming.,1024,128,INT4,1,1,PT
qwen1.5-7b-chat,9.9,4318,Data is coming.,1024,128,INT4,1,1,PT
baichuan2-7b-chat,9.8,4668,Data is coming.,1024,128,INT4,1,1,PT
qwen-7b-chat,9.0,5141,Data is coming.,1024,128,INT4,1,1,PT
