top - 18:03:20 up 52 days,  6:27,  1 user,  load average: 0,04, 0,05, 0,04
Tasks: 528 total,   1 running, 522 sleeping,   5 stopped,   0 zombie
%Cpu(s):  0,3 us,  0,3 sy,  0,0 ni, 99,5 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem : 128551,2 total, 112903,1 free,   2579,6 used,  13068,5 buff/cache
MiB Swap:   2048,0 total,   1242,9 free,    805,1 used. 124734,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
3290243 rmikhail  20   0   12600   4420   3428 R   6,7   0,0   0:00.01 top
      1 root      20   0  171816   9364   4932 S   0,0   0,0   3:45.13 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.69 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0,0   0,0   0:09.82 ksoftir+
     14 root      20   0       0      0      0 I   0,0   0,0  20:34.00 rcu_sch+
     15 root      rt   0       0      0      0 S   0,0   0,0   0:31.42 migrati+
     16 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     18 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     20 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     21 root      rt   0       0      0      0 S   0,0   0,0   0:35.00 migrati+
     22 root      20   0       0      0      0 S   0,0   0,0   0:13.41 ksoftir+
     24 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
